Date,Title,Summary
2020.11.28. 오후 4:24,혼자 살면서 소품 직접 만들어볼까,"'드르륵' 하며 재봉틀이 돌아가자 순식간에 마스크 형태가 만들어졌다.<br/><br/>집 꾸미기와 관련된 홈 인테리어 분야에서는 당초 소규모 인테리어 업체용 자재 백화점으로 출발한 대형 매장이 비혼·1인 가구 DIY족들이 싼값에 '득템'할 수 있는 성지로 각광받고 있기도 하다.<br/><br/>한 대형 인테리어 판매점 관계자는 ""비혼이나 1인 가구에선 아무래도 자기 집이 아닌 경우가 많으니 사정에 맞게 이사를 갈 때도 쉽게 옮길 수 있도록 하는 등의 솔루션을 제공한다""고 말했다."
2020.11.28. 오후 4:24,혼자 살면서 소품 직접 만들어볼까,"'드르륵' 하며 재봉틀이 돌아가자 순식간에 마스크 형태가 만들어졌다.<br/><br/>집 꾸미기와 관련된 홈 인테리어 분야에서는 당초 소규모 인테리어 업체용 자재 백화점으로 출발한 대형 매장이 비혼·1인 가구 DIY족들이 싼값에 '득템'할 수 있는 성지로 각광받고 있기도 하다.<br/><br/>한 대형 인테리어 판매점 관계자는 ""비혼이나 1인 가구에선 아무래도 자기 집이 아닌 경우가 많으니 사정에 맞게 이사를 갈 때도 쉽게 옮길 수 있도록 하는 등의 솔루션을 제공한다""고 말했다."
2020.11.28. 오후 4:23,전북 정읍 오리 농장서 고병원성 AI 확진,전북 정읍에 있는 육용오리 농장에서 고병원성 조류인플루엔자가 확진됐다.<br/><br/>농식품부는 발생 농장 반경 3㎞ 내에서 사육되는 가금류를 예방적으로 살처분하고 10㎞ 내 가금농장에 대해선 30일간 이동을 제한하도록 했다.<br/><br/>발생지역인 전북 정읍시에 있는 모든 가금농장은 일주일간 이동이 제한된다.
2020.11.28. 오후 4:23,전북 정읍 오리 농장서 고병원성 AI 확진,전북 정읍에 있는 육용오리 농장에서 고병원성 조류인플루엔자가 확진됐다.<br/><br/>농식품부는 발생 농장 반경 3㎞ 내에서 사육되는 가금류를 예방적으로 살처분하고 10㎞ 내 가금농장에 대해선 30일간 이동을 제한하도록 했다.<br/><br/>발생지역인 전북 정읍시에 있는 모든 가금농장은 일주일간 이동이 제한된다.
2020.11.28. 오후 3:39,"방역당국 ""연말까지 가급적 모임·약속 취소해달라""","방역당국이 28일 ""연말까지 가급적 모든 모임과 약속을 취소해주시길 바란다""고 밝혔다.<br/><br/>임 단장은 ""의료기관 종사자가 의료기관 외부에서 감염된 것이 다시 의료기관 내부의 집단감염으로 이어지고 있다""며 ""사회복지시설이나 의료기관 종사자들은 퇴근 후 또는 휴일에 사적인 대면모임 참석을 자제해달라. 유흥업소 등 고위험시설 출입도 피하고 실내활동이나 위험도가 높은 실외활동 시에는 마스크를 착용하고 거리 두기를 반드시 준수해줄 것을 당부드린다""고 말했다.<br/><br/>임 단장은 다음달 3일 수능을 앞둔 수험생들에게 시험 전날까지 다중이용시설, 학원, 교습소 등 이용을 자제해달라고도 당부했다."
2020.11.28. 오후 3:39,"방역당국 ""연말까지 가급적 모임·약속 취소해달라""","방역당국이 28일 ""연말까지 가급적 모든 모임과 약속을 취소해주시길 바란다""고 밝혔다.<br/><br/>임 단장은 ""의료기관 종사자가 의료기관 외부에서 감염된 것이 다시 의료기관 내부의 집단감염으로 이어지고 있다""며 ""사회복지시설이나 의료기관 종사자들은 퇴근 후 또는 휴일에 사적인 대면모임 참석을 자제해달라. 유흥업소 등 고위험시설 출입도 피하고 실내활동이나 위험도가 높은 실외활동 시에는 마스크를 착용하고 거리 두기를 반드시 준수해줄 것을 당부드린다""고 말했다.<br/><br/>임 단장은 다음달 3일 수능을 앞둔 수험생들에게 시험 전날까지 다중이용시설, 학원, 교습소 등 이용을 자제해달라고도 당부했다."
2020.11.28. 오후 2:24,코인 바람 또다시...2030은 왜 흔들리나,11월 24일 코인 투자 단체 대화방에서 오간 대화다.<br/><br/>그렇다면 국내 코인 투자의 수요확대도 암호화폐 가치 재평가에 따른 것일까.<br/><br/>홍기훈 교수는 현재 국내 암호화폐 바람은 투기 성격이 짙었던 2017년 코인 열풍과 성격이 다르지 않다고 본다.
2020.11.28. 오후 2:24,코인 바람 또다시...2030은 왜 흔들리나,11월 24일 코인 투자 단체 대화방에서 오간 대화다.<br/><br/>그렇다면 국내 코인 투자의 수요확대도 암호화폐 가치 재평가에 따른 것일까.<br/><br/>홍기훈 교수는 현재 국내 암호화폐 바람은 투기 성격이 짙었던 2017년 코인 열풍과 성격이 다르지 않다고 본다.
2020.11.28. 오후 1:38,"이재명 ""기본·평생주택이 가장 효과적인 부동산 처방""","이재명 경기도지사가 28일 ""중산층용 초장기 공공임대주택을 대폭 확대 공급하는 것이 부동산 시장 안정화에 가장 실효적인 처방""이라고 밝혔다.<br/><br/>이 지사는 이날 자신의 페이스북에 ""광풍이라 부를 수밖에 없는 주택 시장 안정을 위해 국토교통부와 LH에 3가지 주요 건의를 했다""며 이같이 적었다.<br/><br/>이 지사는 ""부동산 시장 안정화 정책인 '수도권 30만호 주택공급'의 80%가 경기도 내에서 추진된다""며 ""당초 협약과 달리 경기도의 사업 참여 비율은 단 8%로, 2기 신도시보다 절반 수준으로 후퇴했다""고 했다."
2020.11.28. 오후 1:38,"이재명 ""기본·평생주택이 가장 효과적인 부동산 처방""","이재명 경기도지사가 28일 ""중산층용 초장기 공공임대주택을 대폭 확대 공급하는 것이 부동산 시장 안정화에 가장 실효적인 처방""이라고 밝혔다.<br/><br/>이 지사는 이날 자신의 페이스북에 ""광풍이라 부를 수밖에 없는 주택 시장 안정을 위해 국토교통부와 LH에 3가지 주요 건의를 했다""며 이같이 적었다.<br/><br/>이 지사는 ""부동산 시장 안정화 정책인 '수도권 30만호 주택공급'의 80%가 경기도 내에서 추진된다""며 ""당초 협약과 달리 경기도의 사업 참여 비율은 단 8%로, 2기 신도시보다 절반 수준으로 후퇴했다""고 했다."
2020.11.28. 오후 12:59,"""여성 아니면 86세대?"" 서울시장 보궐 전초전 시작됐다","11월 23일 아침 라디오방송에 출연한 금 전 의원은 ""제가 서울시장이 되고 싶다 안 되고 싶다를 떠나서 그 선거에서 맡을 역할이 있다면 책임을 져야겠다, 그런 생각을 하게 됐다""고 밝혔다.<br/><br/>그는 이 인터뷰에서 ""내년 서울시장은 다른 때와 달리 대단히 정치적인 선거""라고도 말했다.<br/><br/>금 전 의원이 정치권으로 들어온 이래 오랫동안 교류해온 인사들은 ""우리가 아는 한 금 전 의원이 국민의힘을 선택할 가능성은 0.01%도 없다""고 말한다."
2020.11.28. 오후 12:59,"""여성 아니면 86세대?"" 서울시장 보궐 전초전 시작됐다","11월 23일 아침 라디오방송에 출연한 금 전 의원은 ""제가 서울시장이 되고 싶다 안 되고 싶다를 떠나서 그 선거에서 맡을 역할이 있다면 책임을 져야겠다, 그런 생각을 하게 됐다""고 밝혔다.<br/><br/>그는 이 인터뷰에서 ""내년 서울시장은 다른 때와 달리 대단히 정치적인 선거""라고도 말했다.<br/><br/>금 전 의원이 정치권으로 들어온 이래 오랫동안 교류해온 인사들은 ""우리가 아는 한 금 전 의원이 국민의힘을 선택할 가능성은 0.01%도 없다""고 말한다."
2020.11.28. 오후 12:58,"추·윤 동반사퇴일까, 윤석열만 사퇴일까","10월 22일 대검찰청에 대한 국정감사에서 윤석열 총장이 ""법무부 장관의 부하가 아니다""라고 발언한 후 청와대가 과연 윤 총장의 임기를 보장할 것이냐에 관심이 쏠렸다.<br/><br/>장성철 소장은 ""지금은 추 장관과 윤 총장, 두 사람이 사퇴하는 것이 합리적인 결정이 될 수 있다""면서 ""하지만 청와대가 그런 선택을 할 가능성이 낮아졌다""고 말했다.<br/><br/>윤 총장이 사퇴한 이후 여권에서 추 장관을 사퇴시킬 이유를 찾지 않을 것이라는 이야기다."
